Deck	Title	HP	Nemesis Icon	Keywords	Game Text	Flavor Text	Attribution	Qty	Set	Decks: 11
Insula Primalis	Dinosaur Stampede	-	-	One-Shot	Shuffle the Environment trash into the Environment deck. Discover 2 Dinosaur cards. Each Dinosaur card deals each non-Environment target 1 fixed melee damage.	"Don't look now, but there are quite a few of those massive beasts headed this way at a concerning clip. I advise running, rather than looking!"	Captain Cosmic, Prime Wardens Vol. 1 #135	1	Core Game	Insula Primalis
Insula Primalis	Enraged T. Rex	14	-	Dinosaur	END PHASE This card deals the target other than itself with the second lowest HP 5 melee damage.	"Hey! Big fella! Why don't you pick on someone who's at least a bit closer to your own size!"	Haka, Tome of the Bizarre Vol. 2 #344	2	Core Game	Insula Primalis
Insula Primalis	Grazing Stegosaurus	12	-	Dinosaur	START PHASE The Hero with the fewest cards in hand draws 1 card. END PHASE This card deals the target other than itself with the second highest HP 2 melee damage.	"If we can pass this way without disturbing the creature, it should not bother us. Unless something provokes it, of course."	The Argent Adept, Prime Wardens Vol. 1 #2	2	Core Game	Insula Primalis
Insula Primalis	Imminent Eruption	20	-	Volcano, Indestructible	END PHASE If this card has 10 or more HP, play the top card of the environment deck. If this card has 9 or fewer HP, this card deals each target other than itself X fire damage, where X is the current HP of this card. If this card is at 0 HP, shuffle it into the Environment deck.	"Behold! This land you dare to tread upon shall be your undoing! You never should have trespassed on my island."	Citizen Dawn, Freedom Five #269	1	Core Game	Insula Primalis
Insula Primalis	Primordial Plant Life	-	-	One-Shot	Each target regains 1 HP. The non-Environment target with the lowest HP deals itself 3 fixed toxic damage.	"Do watch your step. The prehistoric creatures aren't the only dangers lurking in this jungle."	Baron Blade, Justice Comics #584	1	Core Game	Insula Primalis
Insula Primalis	Pterodactyl Thief	8	-	Dinosaur	START PHASE Destroy 1 Item card. Put cards destroyed this way under this card. END PHASE This card deals the target other than itself with the highest HP X sonic damage, where X is the number of cards under this card plus 1.	"Something about the glint of my blade has drawn this creature to me! Back, back! Your grasping talons will find no purchase here!"	Fanatic, Prime Wardens Vol. 1 #136	1	Core Game	Insula Primalis
Insula Primalis	River of Lava	-	-	One-Shot	If Imminent Eruption is not in play, summon Imminent Eruption. Imminent Eruption deals each target other than itself 2 fire damage.	"A part of the world as old as I am. Not only for regrowing, this is a place of great destruction. Things are born and end in flame here."	Akash'Bhuta, Mother Earth One-Shot	2	Core Game	Insula Primalis
Insula Primalis	Velociraptor Pack	6	-	Dinosaur	+2 damage dealt by this card for each other Velociraptor Pack card in play. END PHASE This card deals the non-Velociraptor Pack target with the lowest HP 2 melee damage.	"I have encountered many bizarre creatures on this strange planet, yet few quite so clever as these."	Tempest, Prime Wardens Vol. 1 #136	3	Core Game	Insula Primalis
Magmaria	Crystal Collector	7	-	Magmarian	START PHASE This card deals the 3 targets with the highest HP 1 fire damage each. END PHASE Each Hero may discard 1 Magma Crystal card. Each Hero that does draws 3 cards.	"It's not just that you're hungry. I understand. You're gathering resources for all of your people."	The Naturalist, Prime Wardens Vol. 1 #123	1	Core Game	Magmaria
Magmaria	Crystalloid Behemoth	12	-	Magma Crystal	When this card is destroyed, put it in 1 Hero's hand. This card cannot be played from a Hero's hand. START PHASE This card deals each target other than itself 1 fire damage. END PHASE This card deals the target other than itself with the highest HP 4 melee damage.	"This terrifying beast must never be allowed to attack the surface world again! It's a great enough threat here, miles under the city."	The Wraith, Mystery Comics Vol. 1 #148	2	Core Game	Magmaria
Magmaria	Crystalloid Gremlins	4	-	Magma Crystal	When this card is destroyed, put it in 1 Hero's hand. This card cannot be played from a Hero's hand. END PHASE This card deals the 3 non-Environment targets with the lowest HP 1 melee damage and 1 fire damage each.	"Enough, you meddling whelps! Foolish creatures! Stand not before Ra!"	Ra, Ra: God of the Sun #125	3	Core Game	Magmaria
Magmaria	Ember Shaman	6	-	Magmarian	START PHASE This card deals the 3 targets with the highest HP 1 fire damage each. END PHASE Each Hero may discard 1 Magma Crystal card. Any Hero that does may use 1 power.	"These shaman lead by controlling the crystals. A simple twist to a crystal's energy will give me control of all of them!"	Professor Pollution, Prime Wardens Vol. 1 #124	1	Core Game	Magmaria
Magmaria	Fiery Crystallization	-	-	Ongoing	Item cards gain the keyword "Magma Crystal". START PHASE The Magmarian card with the highest HP deals each non-Environment target X fire damage and destroys X Item cards, where X is the number of Magmarian cards in play. Move each Item card destroyed this way to its Hero's hand.	"Hey! That's not just some piece of metal! I take back all the nice things I said about you. Jerks."	Unity, Freedom Five #727	2	Core Game	Magmaria
Magmaria	Inner Core Tunneler	9	-	Magmarian	Whenever a Hero character would be dealt damage, they may discard 1 Magma Crystal card. If they do, redirect that damage to this card. START PHASE This card deals the 3 targets with the highest HP 1 fire damage each.	"Careful there, you large and fiery chap! It's hot enough as it is! We're not interested in your incredibly hot crystals. No, thank you!"	Captain Cosmic, Prime Wardens Vol. 1 #124	1	Core Game	Magmaria
Magmaria	Magmarian Throng	-	-	One-Shot	Discover 2 Magmarian cards. Each Magmarian card deals each non-Environment target 1 fire damage.	"Thank you for your very warm welcome. A bit too warm, if you ask me. Any chance you could turn down the heat?"	Legacy, Justice Comics #146	3	Core Game	Magmaria
Magmaria	Seismic Defender	10	-	Magmarian	START PHASE This card deals the target with the highest HP 2 fire damage. END PHASE Each Hero may discard 1 Magma Crystal card. This card deals the X Villain targets with the highest HP 3 melee damage and 3 fire damage each, where X is the number of Magma Crystal cards discarded.	"Oh, I like this one! A great companion in combat, but also an ancient soul. They are as old as the stones themselves!"	Haka, Prime Wardens Vol. 1 #125	1	Core Game	Magmaria
Magmaria	Stone Shaper	8	-	Magmarian	START PHASE This card deals the 3 targets with the highest HP 1 fire damage each. END PHASE Each hero may discard 1 Magma Crystal card to select 1 target. -1 damage dealt to selected targets until the Environment turn START PHASE.	"In your own way, you sing through stones and conduct lava in deep music. This is something older than the magics I have felt."	The Argent Adept, Prime Wardens Vol. 1 #122	1	Core Game	Magmaria
Megalopolis	Bank Heist In Progress	6	-	Emergency	On each Hero's START PHASE, that Hero may skip to their DRAW PHASE. After a Hero does so, destroy this card. START PHASE Each Hero discards 1 card. Play the top card of the Villain deck. Destroy this card.	"They still don't know I'm here. I'll take out as many as I can, but if this goes sideways, I'm going to need a hand."	The Wraith, Mystery Comics Vol. 1 #394	1	Core Game	Megalopolis
Megalopolis	Bomb at City Hall	6	-	Emergency	START PHASE This card deals each non-Environment target 3 fire damage. Each Hero character deals itself 3 fixed psychic damage. Each Hero discards 2 cards. Destroy this card. END PHASE 1 Hero may discard 2 Item cards. If they do, destroy this card.	"Heroes! Come at once! There's some sort of terrible contraption here at City Hall, and it's ticking!"	Mayor Fremont, Freedom Five Annual #3	1	Core Game	Megalopolis
Megalopolis	Burning High Rise	6	-	Emergency	START PHASE This card deals each Hero target 2 fire damage. Each Hero character deals itself 2 fixed psychic damage. Destroy this card. END PHASE Each Hero may discard any number of cards. If (H) plus 2 cards are discarded this way, destroy this card.	"I've been through the whole place twice, but I know there are still people inside. A woman was yelling for help and something about her baby! We gotta get back in there."	Tachyon, Freedom Five #276	1	Core Game	Megalopolis
Megalopolis	Bustling City	-	-	One-Shot	In turn order, reveal the top card of each deck. If the revealed card is a One-Shot card, discard it. Otherwise, play it.	"This city is a constant headache. Lights, noise, people, traffic. Worst place I've ever lived. Couldn't imagine living anywhere else."	Absolute Zero, Freedom Five #403	2	Core Game	Megalopolis
Megalopolis	Collateral Damage	-	-	One-Shot	Destroy 1 Villain Ongoing card, 1 Hero Ongoing card, and 1 Environment card. Each target deals itself 1 fixed psychic damage.	"Drive them back! We're risking the lives of millions with every second we spend fighting in this city!"	Bunker, Freedom Five #441	2	Core Game	Megalopolis
Megalopolis	Hostage Situation	6	-	Emergency	START PHASE Each Hero destroys 1 of their Item cards. Each Hero discards 1 card. Destroy this card. END PHASE 1 Hero may discard 2 One-Shot cards. If they do, destroy this card.	"Seems like you've found yourselves in a sticky situation! Ha-ha-ha-ha-ha!!!"	The Adhesivist, Justice Comics #341	1	Core Game	Megalopolis
Megalopolis	Impending Casualty	-	-	Ongoing	START PHASE Each Hero character deals itself 3 fixed psychic damage. Destroy this card. END PHASE 1 Hero may discard their hand. If they do, they draw 2 cards, then destroy this card.	"I believe you'll find the solution is further down, and several more across!"	Crossword, Mystery Comics Vol. 1 #184	2	Core Game	Megalopolis
Megalopolis	Local Legal Expert	6	-	Supporter	This card counts as a Hero target. It is immune to damage dealt by Hero targets. END PHASE Each Hero draws 1 card.	"He could have gotten off scot-free if his legal team hadn't overlooked those torts. That's why they call me the Law Hawk. I don't overlook anything."	Brianna Hawke, Esq., Freedom Five Annual #8	1	Core Game	Megalopolis
Megalopolis	Persistent Paparazzi	-	-	Ongoing	After a Hero uses a power, they deal themself 1 fixed psychic damage. START PHASE Each Hero may discard 1 card. If each active Hero does so, destroy this card.	"I'm live at the scene, reporting on the incident in progress. What's really going on here, Setback? What are you heroes hiding?"	Michelle Hausman, Justice Comics #479	2	Core Game	Megalopolis
Megalopolis	Plummeting Monorail	6	-	Emergency	START PHASE This card deals the 2 non-Environment targets with the highest HP 5 melee damage each. Destroy this card. END PHASE 1 Hero may deal themself 2 fixed psychic damage and 2 fixed melee damage. If they do, destroy this card.	"Just one chance to get this right. I have to slow it down before it reaches the ground, but without hurting anyone inside!"	Legacy, A Day in the Life: Legacy	1	Core Game	Megalopolis
Megalopolis	Police Backup	6	-	Supporter	This card counts as a Hero target. It is immune to damage dealt by Hero targets. END PHASE This card deals the Villain target with the highest HP 1 projectile damage.	"You're the finest buncha boys in blue I've ever had the privilege of working with. There are some real heavy hitters out there, so be on your guard!"	Police Chief Callahan, Freedom Five Annual #3	1	Core Game	Megalopolis
Pike Industrial Complex	Biomimetic Plasma Vat	5	-	Vat	After this card is dealt damage, it deals each non-Environment target 1 fixed toxic damage. Then, the attacker regains (H) HP. When this card is destroyed, destroy (H) minus 2 Ongoing cards.	"So many potential tools... Why deal with a team of flawed people pretending to be heroes, when you can just build your own?"	Miss Information, Freedom Five Annual #22	2	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Chemical Explosion	-	-	One-Shot	Discover 1 Vat card. Each non-Environment target deals itself X fixed toxic damage, where X is the number of Vat cards in play. Then, destroy each Vat card.	"What a mess. To avoid the cliche, I am not going to say that there is no way for her to have survived the explosion, but it does seem doubtful."	Parse, Freedom Five Annual #22	2	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Escaped Lab Rat	4	-	Rat	END PHASE This card deals the (H) minus 2 non-Rat targets with the lowest HP 1 melee damage each.	"See, this is why I prefer robots. Experiment goes bad? Just take them apart and rebuild them. None of this gross stuff."	Unity, Freedom Five #607	2	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Experimental Mutagen	-	-	Ongoing	+1 damage dealt by Rat cards. Rat cards are immune to toxic damage. START PHASE Discover 1 Rat card.	"Uh, I think it used to be a rat. Try not to get any of that green stuff on you, unless you want to share a similar fate."	Haka, Prime Wardens Vol. 1 #151	2	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Imperfect Human Specimen	8	-	Clone	After this card is played, each Hero target deals itself 1 fixed psychic damage. END PHASE This card deals the non-Environment target with the lowest HP 3 melee damage. Then, this card regains 3 HP.	"Not all failures are wastes. Flush out the system, and be sure to fully dispose of any organic material. They have a way of hanging around."	The Operative, Mystery Comics Vol. 2 #259	1	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Irradiated Cyclohexane Vat	5	-	Vat	After this card is dealt damage, it deals each non-Environment target 1 fixed energy damage. Then, destroy 1 Ongoing card and discover 1 Ongoing card from the destroyed card's deck. When this card is destroyed, this card deals each non-Environment target 2 energy damage.	"We need to move. I can feel the radiation rolling off these tanks."	Mr. Fixer, Mystery Comics Vol. 2 #232	2	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Mutated Sewer Rat	6	-	Rat	END PHASE This card deals the (H) non-Rat targets with the highest HP 2 toxic damage each.	"Yer not the feller I'm lookin' for, but I reckon you may well be able to point me in his direction."	Chrono-Ranger, The Last Hunt #5	2	Rook City Renegades	Pike Industrial Complex
Pike Industrial Complex	Supercooled Trisolvent Vat	5	-	Vat	After this card is dealt damage, it deals each non-Environment target 1 fixed cold damage. Then, destroy 1 target with 1 HP. When this card is destroyed, destroy 1 Item or Ongoing card in each play area.	"Hoooo boy that's cold! Aww, this stuff makes my blorpy bits go all brittle... No thank you to ice on my beautiful perfect body!"	Guise, Justice Comics #389	2	Rook City Renegades	Pike Industrial Complex
The Realm of Discord	Buffeting Ephemeral Winds	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. -1 damage dealt by all targets.	"The winds, they drive me back! Our challenge must wait for yet another day, my little cherub."	Apostate, Prime Wardens Vol. 1 #141	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Claustrophobic Delusion	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. Each target is immune to damage, except for the Hero target with the lowest HP and the Villain target with the lowest HP.	"Ach, this place is makin' me feel a touch peely-wally, if ye know what I mean!"	K.N.Y.F.E., Arcane Tales Vol. 2 #525	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Explosive Bubbles	-	-	Denizen	When this card is dealt damage, reduce that damage to 1. END PHASE This card deals the 3 non-Environment targets with the highest HP X energy damage each, where X is the current HP of this card.	"I must take care not to disturb these seemingly innocuous bubbles. The slightest brush could spell certain death!"	NightMist, Rook City Renegades #77	2	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Ghostly Images	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. END PHASE Reveal the bottom card of each non-Environment deck in turn order. If the revealed card is a One-Shot card, play it. Otherwise, discard it.	"These shadows of heroes who once were are nothing more than lost stories. Some legends are destined to remain mere memories."	Grimm, Tome of the Bizarre Vol. 4 #11	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Miasma of Pain	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. END PHASE The (H) targets with the highest HP deal themselves 2 fixed infernal damage each.	"Some people been dealing with pain they whole lives. Others? Still new to it."	Rambler, Tome of the Bizarre Vol. 4 #82	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	The Oracle of Discord	20	-	Denizen	After this card is played, the Heroes may replace 1 active Hero character card with a different character card for that same Hero, setting it to its maximum HP. Otherwise, this card deals each target 2 psychic damage. END PHASE Discover 1 Ongoing card from the deck in the play area with the target with the lowest HP.	"Show me what I want to see, oh great Oracle. I demand you give me what I deserve!"	Grand Warlord Voss, Disparation Vol. 1 #1	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Pervasive Frailty	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. +1 damage dealt to all targets.	"Hah, you're going to try punching me again? Don't you remember what happened last ti-- oof!!"	Mainstay, Southwest Sentinels #16	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Portal Fiend	11	-	Denizen	START PHASE This card deals the non-Environment target with the second highest HP 3 psychic damage. END PHASE Reveal the top card of the Environment deck. If it is a Distortion card, play it. Otherwise, discard it and this card regains (H) HP.	"What an astounding creature! Upon making eye contact, I was transported to a locale unknown, though still within this accursed realm."	Baron Blade, Burying the Blade #2	2	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Positive Energy Field	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. END PHASE The (H) targets with the lowest HP regain 2 HP each.	"We obviously can't keep fighting. What do you say, old foe? Shall we sit down and... talk it out?"	Legacy, America's Finest Legacy #245	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Reversed Gravity	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. After a target is played, it deals itself 2 fixed melee damage. END PHASE Each Hero discards 1 card.	"Eek! I can't fly! Huginn, Muninn-- help me!"	The Harpy, Dark Watch Annual #4	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Spinning Vortex	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. END PHASE Destroy 1 Hero Ongoing card and 1 Villain Ongoing card. Each non-Environment target deals itself 1 fixed sonic damage.	"Obey me! Realm, if you turn against me now, your suffering will be your undoing! I am the master here, and no other!"	GloomWeaver, Mystery Comics Vol. 2 #511	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Time Crawls	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. During each Hero turn, that Hero must skip either their PLAY PHASE or their POWER PHASE. During the Villain turn, skip the first END PHASE effect that would occur.	"The faster I try to run, the more this force pushes against me! I'll have to slow all the way down to make any progress at all."	Tachyon, Justice Comics #347	1	Rook City Renegades	Realm of Discord, The
The Realm of Discord	Time Flies	-	-	Ongoing, Distortion	After this card is played, destroy all other Distortion cards. Heroes may play 1 additional card during their PLAY PHASE and draw 1 additional card during their DRAW PHASE. END PHASE Play the top card of the Villain deck.	"I can't tell if I'm moving faster or the world is moving slower, but I feel like I'm about to vibrate out of my skin!"	Setback, Dark Watch Vol. 2 #9	1	Rook City Renegades	Realm of Discord, The
Rook City	Ambitious Racketeer	5	-	Thug	When this card is destroyed, destroy 1 Hero Ongoing card. END PHASE Each Hero may discard 1 card. This card deals each Hero character X projectile damage, where X is (H) minus the number of cards discarded this way.	"The most dangerous evil is barely evil at all. It's one man stepping on another to get ahead. It's forgetting to look down when you're moving up."	Mr. Fixer, Mystery Comics Vol. 2 #154	1	Rook City Renegades	Rook City
Rook City	Anti-Hero Sentiment	-	-	Ongoing, Smear	After an Environment target is played, 1 Hero discards 2 cards. END PHASE Each Environment target deals the Hero target with the highest HP 1 sonic damage.	"Costumed vigilantes running wild in our streets, filling the heads of our children with dangerous ideas, while doing nothing to protect us!"	Bruce Watkins, Mystery Comics Vol. 1 #356	1	Rook City Renegades	Rook City
Rook City	Bruce Watkins	3	-	Reporter	If there are any Smear cards in play, this card is immune to damage. When this card is destroyed, discover 1 Smear card. END PHASE Discover 1 Smear card.	"Werewolves, Bruce? Give me a break. What'll you come up with next-- a giant man-eating rat in the sewers?"	Tabitha Taft, Rook City Renegades #65	1	Rook City Renegades	Rook City
Rook City	Despair and Decay	-	-	Ongoing	START PHASE Each target deals itself 1 fixed psychic damage. END PHASE If there are no Bystander cards in play, discover 1 Environment target.	"This city preys on the people who live here, and they prey on each other. There's no cleaning up this town -- just surviving it."	The Wraith, Mystery Comics Vol. 1 #300	2	Rook City Renegades	Rook City
Rook City	Dr. Tremata	5	-	Bystander	When this card would be dealt damage, you may redirect that damage to a Hero target. When this card is destroyed, each Villain target regains (H) HP. END PHASE Each Hero draws 1 card.	"Irregular lacerations. Overactive toxicity in the wound. You bring me the most interesting conundrums. I just wish they came with less viscera."	Dr. Tremata, Rook City Renegades #9	1	Rook City Renegades	Rook City
